locality	hotel_class	avg_rating
Phoenix	1.0	1.0
San Diego	5.0	4.477528089887641
San Diego	4.5	3.5
San Diego	4.0	3.627737226277372
San Diego	3.5	3.825371965544244
San Diego	3.0	3.742138364779874
San Diego	2.5	3.72133526850508
San Diego	2.0	3.168831168831169
Philadelphia	5.0	3.852760736196319
Philadelphia	4.0	4.0181818181818185
Philadelphia	3.5	3.34855403348554
Philadelphia	3.0	3.8248175182481754
Philadelphia	2.5	3.394285714285714
Philadelphia	2.0	2.4444444444444446
Philadelphia	1.5	1.0
Jacksonville	4.0	3.869565217391304
Jacksonville	3.5	3.40625
Jacksonville	3.0	3.870967741935484
Jacksonville	2.5	3.955357142857143
Jacksonville	2.0	3.3676470588235294
Fort Worth	4.0	3.6511627906976742
Fort Worth	3.5	3.8333333333333335
Fort Worth	3.0	3.4722222222222223
Fort Worth	2.5	4.03030303030303
Fort Worth	2.0	3.272727272727273
Fort Worth	1.5	1.5
Baltimore	5.0	4.428571428571429
Baltimore	4.0	3.8904109589041096
Baltimore	3.5	3.3376623376623376
Baltimore	3.0	3.680451127819549
Baltimore	2.5	3.8296296296296295
Baltimore	2.0	2.272727272727273
Indianapolis	4.5	4.487179487179487
Indianapolis	4.0	3.9166666666666665
Indianapolis	3.5	3.3622047244094486
Indianapolis	3.0	3.8313253012048194
Indianapolis	2.5	3.661290322580645
Indianapolis	2.0	3.2
Indianapolis	1.5	1.0
Austin	4.5	3.875
Austin	4.0	3.7890173410404624
Austin	3.5	3.551470588235294
Austin	3.0	3.6809523809523808
Austin	2.5	3.706896551724138
Austin	2.0	3.0
Austin	1.5	1.25
Los Angeles	5.0	3.9293478260869565
Los Angeles	4.5	4.017391304347826
Los Angeles	4.0	3.608202443280977
Los Angeles	3.5	3.616447823082239
Los Angeles	3.0	3.7509259259259258
Los Angeles	2.5	3.5073529411764706
Los Angeles	2.0	3.4458672875436553
Los Angeles	1.5	3.2857142857142856
Charlotte	5.0	4.5625
Charlotte	4.0	3.7092198581560285
Charlotte	3.5	3.441860465116279
Charlotte	3.0	3.7267080745341614
Charlotte	2.5	3.7872340425531914
Charlotte	2.0	2.7666666666666666
Charlotte	1.5	1.0
Houston	5.0	3.360655737704918
Houston	4.5	3.6530612244897958
Houston	4.0	3.7
Houston	3.5	3.5863636363636364
Houston	3.0	3.8282828282828283
Houston	2.5	3.6785714285714284
Houston	2.0	2.8636363636363638
Houston	1.5	1.2222222222222223
Columbus	4.0	3.5964912280701755
Columbus	3.5	3.55
Columbus	3.0	3.75
Columbus	2.5	3.557377049180328
Columbus	2.0	3.5454545454545454
Columbus	1.5	1.5
San Jose	4.0	3.5955882352941178
San Jose	3.5	3.690909090909091
San Jose	3.0	3.3157894736842106
San Jose	2.5	3.56140350877193
San Jose	2.0	3.1904761904761907
El Paso	3.5	3.0697674418604652
El Paso	3.0	3.935483870967742
El Paso	2.5	3.673469387755102
El Paso	2.0	3.3636363636363638
